	Time	RTT	Node
0	2758	1506	0
1	3134	1835	0
2	3510	2164	0
3	3886	2493	0
4	4262	2822	0
5	4638	3151	0
6	5014	3480	0
7	5390	3809	0
8	5766	4138	0
9	6142	4467	0
10	6518	4796	0
11	6894	5125	0
12	7270	5454	0
13	7646	5783	0
14	8022	6112	0
15	8398	6441	0
16	8774	6770	0
17	9150	7099	0
18	9526	7428	0
19	9902	7757	0
20	10278	8086	0
21	10654	8415	0
22	11030	8744	0
23	11406	8648	0
24	11782	8272	0
25	12158	7896	0
26	12628	7614	0
27	12675	6533	0
28	13286	5640	0
29	13662	4512	0
30	14038	2256	0
31	15168	1506	0
32	16674	1506	0
33	18180	1506	0
34	19686	1506	0
35	21192	1506	0
36	22698	1506	0
37	24204	1506	0
38	25710	1506	0
39	25804	1553	0
40	27216	1506	0
41	27357	1553	0
42	28722	1506	0
43	28863	1506	0
44	30228	1506	0
45	30369	1506	0
46	31734	1506	0
47	31875	1506	0
48	31969	1553	0
49	33240	1506	0
50	33381	1506	0
51	33522	1553	0
52	34746	1506	0
53	34887	1506	0
54	35028	1506	0
55	36252	1506	0
56	36393	1506	0
57	36487	1553	0
58	36581	1553	0
59	37758	1506	0
60	37899	1506	0
61	38040	1553	0
62	38134	1553	0
63	39309	1551	0
64	39450	1551	0
65	39591	1551	0
66	39685	1598	0
67	39732	1598	0
68	41142	1833	0
69	41283	1833	0
70	41424	1833	0
71	41565	1880	0
72	41612	1880	0
73	42928	1786	0
74	43069	1786	0
75	43163	1739	0
76	43304	1692	0
77	44434	1506	0
78	44669	1506	0
79	44810	1506	0
80	44904	1553	0
81	46126	1692	0
82	46267	1598	0
83	46408	1598	0
84	46502	1598	0
85	47677	1551	0
0	2946	1678	1
1	3322	2007	1
2	3698	2336	1
3	4074	2665	1
4	4450	2994	1
5	4826	3323	1
6	5202	3652	1
7	5578	3981	1
8	5954	4310	1
9	6330	4639	1
10	6706	4968	1
11	7082	5297	1
12	7458	5626	1
13	7834	5955	1
14	8210	6284	1
15	8586	6613	1
16	8962	6942	1
17	9338	7271	1
18	9714	7600	1
19	10090	7929	1
20	10466	8258	1
21	10842	8587	1
22	11218	8916	1
23	11594	8648	1
24	11970	8272	1
25	12346	7896	1
26	13004	7426	1
27	13051	6345	1
28	13474	5264	1
29	13850	3760	1
30	14226	1880	1
31	15356	1506	1
32	16862	1506	1
33	18368	1506	1
34	19874	1506	1
35	21380	1506	1
36	22886	1506	1
37	24392	1506	1
38	26086	1694	1
39	26133	1694	1
40	27639	1553	1
41	27686	1553	1
42	29145	1506	1
43	29192	1506	1
44	30651	1506	1
45	30698	1506	1
46	32345	1694	1
47	32392	1694	1
48	32439	1694	1
49	33898	1553	1
50	33945	1553	1
51	33992	1553	1
52	35404	1506	1
53	35451	1506	1
54	35498	1506	1
55	37098	1694	1
56	37145	1694	1
57	37192	1694	1
58	37239	1694	1
59	38651	1553	1
60	38698	1553	1
61	38745	1553	1
62	38792	1553	1
63	40390	1739	1
64	40437	1739	1
65	40484	1739	1
66	40531	1739	1
67	40625	1786	1
68	42270	1880	1
69	42317	1880	1
70	42364	1880	1
71	42411	1880	1
72	42505	1880	1
73	43821	1551	1
74	43870	1506	1
75	43917	1506	1
76	44011	1506	1
77	45515	1694	1
78	45562	1692	1
79	45609	1692	1
80	45703	1739	1
81	45797	1786	1
82	47113	1598	1
83	47160	1598	1
84	47207	1598	1
85	47301	1598	1
0	2852	1592	2
1	3228	1921	2
2	3604	2250	2
3	3980	2579	2
4	4356	2908	2
5	4732	3237	2
6	5108	3566	2
7	5484	3895	2
8	5860	4224	2
9	6236	4553	2
10	6612	4882	2
11	6988	5211	2
12	7364	5540	2
13	7740	5869	2
14	8116	6198	2
15	8492	6527	2
16	8868	6856	2
17	9244	7185	2
18	9620	7514	2
19	9996	7843	2
20	10372	8172	2
21	10748	8501	2
22	11124	8830	2
23	11500	8648	2
24	11876	8272	2
25	12252	7896	2
26	12816	7708	2
27	12863	6627	2
28	13380	5640	2
29	13756	4136	2
30	14132	1880	2
31	15262	1506	2
32	16768	1506	2
33	18274	1506	2
34	19780	1506	2
35	21286	1506	2
36	22792	1506	2
37	24298	1506	2
38	25898	1600	2
39	25992	1647	2
40	27451	1553	2
41	27545	1553	2
42	28957	1506	2
43	29051	1506	2
44	30463	1506	2
45	30557	1506	2
46	32063	1600	2
47	32157	1600	2
48	32251	1647	2
49	33616	1553	2
50	33710	1553	2
51	33804	1553	2
52	35122	1506	2
53	35216	1506	2
54	35310	1506	2
55	36722	1600	2
56	36816	1600	2
57	36910	1647	2
58	37004	1694	2
59	38275	1553	2
60	38369	1553	2
61	38463	1553	2
62	38557	1553	2
63	39873	1598	2
64	40014	1645	2
65	40108	1645	2
66	40202	1692	2
67	40296	1739	2
68	41753	1880	2
69	41894	1880	2
70	41988	1880	2
71	42082	1880	2
72	42176	1880	2
73	43398	1645	2
74	43539	1645	2
75	43633	1551	2
76	43727	1551	2
77	44998	1600	2
78	45139	1600	2
79	45233	1647	2
80	45327	1694	2
81	45421	1694	2
82	46596	1598	2
83	46737	1598	2
84	46831	1598	2
85	46925	1598	2
86	47019	1598	2
0	3040	1764	3
1	3416	2093	3
2	3792	2422	3
3	4168	2751	3
4	4544	3080	3
5	4920	3409	3
6	5296	3738	3
7	5672	4067	3
8	6048	4396	3
9	6424	4725	3
10	6800	5054	3
11	7176	5383	3
12	7552	5712	3
13	7928	6041	3
14	8304	6370	3
15	8680	6699	3
16	9056	7028	3
17	9432	7357	3
18	9808	7686	3
19	10184	8015	3
20	10560	8344	3
21	10936	8673	3
22	11312	9002	3
23	11688	8272	3
24	12064	7896	3
25	12440	7520	3
26	12487	6439	3
27	13192	6016	3
28	13568	4512	3
29	13944	2632	3
30	14698	1506	3
31	16204	1506	3
32	17710	1506	3
33	19216	1506	3
34	20722	1506	3
35	22228	1506	3
36	23734	1506	3
37	25240	1506	3
38	26746	1506	3
39	26793	1506	3
40	28252	1506	3
41	28299	1506	3
42	29758	1506	3
43	29805	1506	3
44	31264	1506	3
45	31358	1553	3
46	32770	1506	3
47	32864	1506	3
48	32911	1506	3
49	34276	1506	3
50	34370	1506	3
51	34417	1506	3
52	35782	1506	3
53	35923	1553	3
54	35970	1553	3
55	37380	1598	3
56	37521	1598	3
57	37568	1598	3
58	37615	1598	3
59	38933	1553	3
60	39074	1553	3
61	39168	1600	3
62	39215	1600	3
63	40719	1786	3
64	40860	1786	3
65	40954	1786	3
66	41001	1786	3
67	41095	1833	3
68	42599	1880	3
69	42740	1880	3
70	42787	1833	3
71	42881	1786	3
72	44105	1506	3
73	44246	1506	3
74	44387	1506	3
75	45891	1786	3
76	45985	1739	3
77	46079	1692	3
78	47442	1551	3
79	47536	1551	3
80	47630	1551	3
0	2805	1549	4
1	3181	1878	4
2	3557	2207	4
3	3933	2536	4
4	4309	2865	4
5	4685	3194	4
6	5061	3523	4
7	5437	3852	4
8	5813	4181	4
9	6189	4510	4
10	6565	4839	4
11	6941	5168	4
12	7317	5497	4
13	7693	5826	4
14	8069	6155	4
15	8445	6484	4
16	8821	6813	4
17	9197	7142	4
18	9573	7471	4
19	9949	7800	4
20	10325	8129	4
21	10701	8458	4
22	11077	8787	4
23	11453	8648	4
24	11829	8272	4
25	12205	7896	4
26	12722	7661	4
27	12769	6580	4
28	13333	5640	4
29	13709	4136	4
30	14085	2256	4
31	15215	1506	4
32	16721	1506	4
33	18227	1506	4
34	19733	1506	4
35	21239	1506	4
36	22745	1506	4
37	24251	1506	4
38	25757	1506	4
39	25851	1553	4
40	27310	1553	4
41	27404	1553	4
42	28816	1506	4
43	28910	1506	4
44	30322	1506	4
45	30416	1506	4
46	31828	1506	4
47	31922	1506	4
48	32016	1553	4
49	33334	1506	4
50	33475	1553	4
51	33569	1553	4
52	34840	1506	4
53	34981	1506	4
54	35075	1506	4
55	36346	1506	4
56	36534	1553	4
57	36628	1600	4
58	36675	1600	4
59	37852	1506	4
60	38087	1553	4
61	38181	1553	4
62	38228	1553	4
63	39403	1551	4
64	39638	1551	4
65	39779	1598	4
66	39826	1598	4
67	39920	1645	4
68	41236	1833	4
69	41518	1880	4
70	41659	1880	4
71	41706	1880	4
72	41800	1880	4
73	43022	1786	4
74	43257	1739	4
75	43351	1645	4
76	43445	1645	4
77	44528	1506	4
78	44763	1506	4
79	44857	1506	4
80	44951	1553	4
81	45045	1600	4
82	46173	1645	4
83	46361	1598	4
84	46455	1598	4
85	46549	1598	4
86	46643	1598	4
87	47724	1551	4
0	2993	1721	5
1	3369	2050	5
2	3745	2379	5
3	4121	2708	5
4	4497	3037	5
5	4873	3366	5
6	5249	3695	5
7	5625	4024	5
8	6001	4353	5
9	6377	4682	5
10	6753	5011	5
11	7129	5340	5
12	7505	5669	5
13	7881	5998	5
14	8257	6327	5
15	8633	6656	5
16	9009	6985	5
17	9385	7314	5
18	9761	7643	5
19	10137	7972	5
20	10513	8301	5
21	10889	8630	5
22	11265	8959	5
23	11641	8648	5
24	12017	8272	5
25	12393	7896	5
26	13098	7473	5
27	13145	6392	5
28	13521	5264	5
29	13897	3384	5
30	14604	1506	5
31	16110	1506	5
32	17616	1506	5
33	19122	1506	5
34	20628	1506	5
35	22134	1506	5
36	23640	1506	5
37	25146	1506	5
38	25193	1506	5
39	26652	1506	5
40	26699	1506	5
41	28158	1506	5
42	28205	1506	5
43	29664	1506	5
44	29711	1506	5
45	31170	1506	5
46	31217	1506	5
47	31311	1553	5
48	32676	1506	5
49	32723	1506	5
50	32817	1506	5
51	34182	1506	5
52	34229	1506	5
53	34323	1506	5
54	35688	1506	5
55	35735	1506	5
56	35829	1553	5
57	35876	1553	5
58	37286	1598	5
59	37333	1598	5
60	37427	1598	5
61	37474	1598	5
62	38839	1553	5
63	38886	1553	5
64	38980	1553	5
65	39027	1553	5
66	39121	1600	5
67	40578	1739	5
68	40672	1786	5
69	40766	1786	5
70	40813	1786	5
71	40907	1786	5
72	42458	1880	5
73	42552	1880	5
74	42646	1880	5
75	42693	1880	5
76	43964	1506	5
77	44058	1506	5
78	44152	1506	5
79	45656	1692	5
80	45750	1739	5
81	45844	1786	5
82	45938	1786	5
83	47254	1598	5
84	47348	1598	5
85	47395	1551	5
86	47489	1551	5
0	2899	1635	6
1	3275	1964	6
2	3651	2293	6
3	4027	2622	6
4	4403	2951	6
5	4779	3280	6
6	5155	3609	6
7	5531	3938	6
8	5907	4267	6
9	6283	4596	6
10	6659	4925	6
11	7035	5254	6
12	7411	5583	6
13	7787	5912	6
14	8163	6241	6
15	8539	6570	6
16	8915	6899	6
17	9291	7228	6
18	9667	7557	6
19	10043	7886	6
20	10419	8215	6
21	10795	8544	6
22	11171	8873	6
23	11547	8648	6
24	11923	8272	6
25	12299	7896	6
26	12910	7755	6
27	12957	6298	6
28	13427	5264	6
29	13803	3760	6
30	14179	1880	6
31	15309	1506	6
32	16815	1506	6
33	18321	1506	6
34	19827	1506	6
35	21333	1506	6
36	22839	1506	6
37	24345	1506	6
38	25945	1600	6
39	26039	1647	6
40	27498	1553	6
41	27592	1553	6
42	29004	1506	6
43	29098	1506	6
44	30510	1506	6
45	30604	1506	6
46	32110	1600	6
47	32204	1600	6
48	32298	1647	6
49	33663	1553	6
50	33757	1553	6
51	33851	1553	6
52	35169	1506	6
53	35263	1506	6
54	35357	1506	6
55	36769	1600	6
56	36863	1600	6
57	36957	1647	6
58	37051	1694	6
59	38322	1553	6
60	38416	1553	6
61	38510	1553	6
62	38604	1553	6
63	39967	1645	6
64	40061	1645	6
65	40155	1645	6
66	40249	1692	6
67	40343	1739	6
68	41847	1880	6
69	41941	1880	6
70	42035	1880	6
71	42129	1880	6
72	42223	1880	6
73	43492	1645	6
74	43586	1645	6
75	43680	1551	6
76	43774	1551	6
77	45092	1600	6
78	45186	1600	6
79	45280	1647	6
80	45374	1694	6
81	45468	1694	6
82	46690	1598	6
83	46784	1598	6
84	46878	1598	6
85	46972	1598	6
86	47066	1598	6
0	3087	1807	7
1	3463	2136	7
2	3839	2465	7
3	4215	2794	7
4	4591	3123	7
5	4967	3452	7
6	5343	3781	7
7	5719	4110	7
8	6095	4439	7
9	6471	4768	7
10	6847	5097	7
11	7223	5426	7
12	7599	5755	7
13	7975	6084	7
14	8351	6413	7
15	8727	6742	7
16	9103	7071	7
17	9479	7400	7
18	9855	7729	7
19	10231	8058	7
20	10607	8387	7
21	10983	8716	7
22	11359	9045	7
23	11735	8272	7
24	12111	7896	7
25	12534	7567	7
26	12581	6486	7
27	13239	6016	7
28	13615	4512	7
29	13991	2632	7
30	15121	1506	7
31	16627	1506	7
32	18133	1506	7
33	19639	1506	7
34	21145	1506	7
35	22651	1506	7
36	24157	1506	7
37	25663	1506	7
38	27169	1506	7
39	27263	1553	7
40	28675	1506	7
41	28769	1506	7
42	30181	1506	7
43	30275	1506	7
44	31687	1506	7
45	31781	1506	7
46	33193	1506	7
47	33287	1506	7
48	33428	1600	7
49	34699	1506	7
50	34793	1506	7
51	34934	1506	7
52	36205	1506	7
53	36299	1506	7
54	36440	1506	7
55	37711	1506	7
56	37805	1506	7
57	37946	1600	7
58	37993	1553	7
59	39262	1551	7
60	39356	1551	7
61	39497	1551	7
62	39544	1551	7
63	41048	1786	7
64	41189	1833	7
65	41330	1833	7
66	41377	1833	7
67	41471	1880	7
68	42834	1786	7
69	42975	1786	7
70	43116	1786	7
71	43210	1739	7
72	44340	1506	7
73	44622	1506	7
74	44716	1506	7
75	46032	1692	7
76	46220	1598	7
77	46314	1598	7
78	47583	1551	7
79	47771	1551	7
